,City,Percentage Missing median_ppsf
0,Abilene,28.947368421052634
1,Addison,20.175438596491226
2,Aiken,26.31578947368421
8,Allen,30.701754385964914
9,Allentown,15.789473684210526
10,Alpharetta,22.36842105263158
11,Altamonte Springs,22.807017543859647
19,Ankeny,21.71945701357466
20,Ann Arbor,28.50877192982456
21,Annapolis,20.614035087719298
23,Apex,32.01754385964912
24,Apopka,16.666666666666664
28,Arlington Heights,16.228070175438596
32,Athens,21.052631578947366
35,Auburn Hills,29.82456140350877
36,Augusta,30.316742081447963
38,Austell,42.10526315789473
40,Avondale,51.81818181818182
45,Baytown,32.01754385964912
46,Beachwood,43.42105263157895
47,Beaumont,23.684210526315788
50,Bel Air,24.12280701754386
51,Belleville,21.052631578947366
55,Bentonville,28.947368421052634
60,Beverly Hills,28.07017543859649
61,Billerica,17.105263157894736
65,Bloomfield,50.877192982456144
71,Bossier City,32.748538011695906
73,Bothell,20.175438596491226
82,Brea,22.807017543859647
87,Bridgewater,16.666666666666664
90,Broken Arrow,35.96491228070175
93,Broomfield,21.49122807017544
94,Brownsville,33.33333333333333
96,Buena Park,15.789473684210526
99,Buford,35.08771929824561
101,Burleson,51.461988304093566
102,Burlingame,35.526315789473685
105,Camarillo,20.614035087719298
107,Camden,26.75438596491228
109,Canonsburg,26.75438596491228
113,Carmel,21.929824561403507
119,Castle Rock,20.614035087719298
120,Cedar Park,33.33333333333333
122,Cerritos,31.140350877192986
123,Champaign,25.0
124,Chandler,18.859649122807017
126,Chapel Hill,15.789473684210526
130,Chattanooga,78.57142857142857
132,Cherry Hill,15.789473684210526
134,Chesterfield,32.16374269005848
137,Chico,18.859649122807017
138,Chino,15.350877192982457
140,Cincinnati,20.175438596491226
141,Circle Pines,30.994152046783626
142,Clackamas,61.8421052631579
145,Clermont,30.263157894736842
148,Clovis,29.82456140350877
150,Colorado Springs,100.0
154,Compton,19.298245614035086
157,Conshohocken,20.175438596491226
159,Conyers,18.859649122807017
160,Coppell,35.526315789473685
161,Coraopolis,47.80701754385965
165,Council Bluffs,17.105263157894736
166,Covina,15.350877192982457
169,Cumming,31.140350877192986
170,Cupertino,15.350877192982457
171,Cypress,21.49122807017544
173,Dalton,30.263157894736842
174,Daly City,18.421052631578945
175,Danbury,17.84037558685446
179,Davis,27.192982456140353
182,Dearborn,17.105263157894736
184,Deerfield,24.12280701754386
188,Denton,24.561403508771928
190,Depew,31.57894736842105
192,Des Plaines,16.228070175438596
194,Dothan,50.90909090909091
195,Douglasville,36.40350877192983
197,Downers Grove,21.929824561403507
199,Draper,27.192982456140353
200,Duarte,33.771929824561404
201,Dublin,17.543859649122805
203,Dulles,87.71929824561403
204,Duluth,21.49122807017544
210,Eau Claire,29.385964912280706
212,Edison,35.96491228070175
213,Edmond,26.75438596491228
217,El Segundo,17.105263157894736
219,Elizabeth,39.91228070175439
220,Elk Grove,32.01754385964912
222,Elkhart,29.777777777777775
223,Elmhurst,24.561403508771928
224,Elyria,21.49122807017544
225,Emeryville,46.92982456140351
232,Evansville,18.58407079646018
234,Exton,45.614035087719294
237,Fairfield,17.543859649122805
239,Falls Church,24.12280701754386
243,Fenton,25.146198830409354
247,Flint,33.980582524271846
249,Flower Mound,40.845070422535215
250,Folsom,15.350877192982457
251,Fontana,15.789473684210526
252,Fort Belvoir,86.60714285714286
255,Fort Mill,34.64912280701755
258,Fort Smith,22.36842105263158
259,Fort Wayne,19.736842105263158
262,Fountain Valley,22.36842105263158
267,Fredericksburg,23.24561403508772
269,Fresno,24.12280701754386
273,Gaithersburg,24.561403508771928
274,Gallatin,17.982456140350877
280,Garner,41.66666666666667
281,Gastonia,16.666666666666664
283,Germantown,17.982456140350877
284,Gilbert,25.438596491228072
286,Glen Burnie,21.49122807017544
289,Golden,23.684210526315788
290,Goleta,25.877192982456144
291,Goodyear,15.204678362573098
293,Grand Prairie,16.666666666666664
294,Grand Rapids,15.789473684210526
295,Grapevine,47.368421052631575
299,Greensburg,50.877192982456144
301,Greenwich,19.21182266009852
302,Greenwood,31.140350877192986
304,Grove City,38.59649122807017
305,Hackensack,16.228070175438596
307,Hamilton,16.228070175438596
308,Hammond,26.75438596491228
311,Harlingen,50.69124423963134
313,Harrisonburg,16.228070175438596
314,Hartford,19.736842105263158
317,Helena,15.789473684210526
322,Hickory,32.45614035087719
324,Hilliard,25.146198830409354
326,Hoboken,28.50877192982456
330,Holyoke,22.36842105263158
331,Honolulu,35.96491228070175
333,Horsham,21.052631578947366
335,Huntersville,46.05263157894737
338,Hurst,35.08771929824561
339,Hyattsville,25.0
345,Irvine,24.12280701754386
347,Issaquah,17.543859649122805
348,Ithaca,34.50292397660819
352,Jefferson City,26.31578947368421
353,Jeffersonville,42.51207729468599
358,Joplin,34.394904458598724
362,Katy,50.877192982456144
363,Kenner,17.982456140350877
366,Kenosha,24.561403508771928
368,Kernersville,32.01754385964912
370,Kirkland,17.105263157894736
373,Kokomo,31.57894736842105
374,La Crosse,19.248826291079812
376,La Vergne,38.59649122807017
379,Lake Charles,25.791855203619914
380,Lake Forest,18.421052631578945
381,Lake Mary,26.75438596491228
382,Lake Oswego,21.052631578947366
388,Langhorne,49.122807017543856
389,Lansing,15.789473684210526
390,Laredo,48.05825242718447
397,Lawton,25.563909774436087
398,Layton,25.877192982456144
399,League City,38.59649122807017
402,Lehi,16.666666666666664
403,Lenexa,42.98245614035088
404,Lewisville,18.859649122807017
406,Lima,35.67251461988304
408,Linthicum Heights,61.40350877192983
412,Livonia,43.42105263157895
415,Lombard,24.561403508771928
416,Lone Tree,20.19704433497537
421,Los Gatos,15.350877192982457
427,Lynnwood,15.789473684210526
428,Macon,15.789473684210526
429,Madera,39.1812865497076
431,Madison Heights,41.228070175438596
432,Maitland,26.75438596491228
433,Malvern,30.263157894736842
434,Manassas,24.561403508771928
437,Manteca,35.526315789473685
440,Maryland Heights,30.303030303030305
442,Mason,35.18518518518518
443,Matthews,48.24561403508772
444,Maumee,38.59649122807017
445,Maumelle,40.35087719298245
447,Mechanicsburg,20.614035087719298
450,Melville,50.43859649122807
452,Menlo Park,23.24561403508772
453,Menomonee Falls,22.22222222222222
454,Mentor,45.17543859649123
455,Merced,26.31578947368421
456,Meridian,16.228070175438596
457,Mesa,19.736842105263158
458,Mesquite,21.052631578947366
462,Middleton,20.175438596491226
464,Midland,30.263157894736842
465,Midlothian,18.421052631578945
468,Milpitas,15.789473684210526
472,Mishawaka,32.89473684210527
473,Mission Viejo,23.24561403508772
477,Moline,21.929824561403507
479,Monroeville,33.771929824561404
481,Monterey,25.877192982456144
483,Mooresville,21.052631578947366
484,Moreno Valley,26.31578947368421
485,Morganton,34.45378151260504
486,Morgantown,47.368421052631575
487,Morristown,24.561403508771928
488,Morrisville,18.421052631578945
489,Mount Juliet,39.473684210526315
494,Murrieta,19.196428571428573
497,Nampa,24.561403508771928
499,Naperville,17.982456140350877
504,National City,19.298245614035086
505,Neenah,27.192982456140353
506,New Albany,43.689320388349515
507,New Bedford,15.350877192982457
508,New Berlin,41.66666666666667
510,New Brunswick,39.473684210526315
512,New Hyde Park,52.976190476190474
517,Newnan,29.82456140350877
521,Niagara Falls,27.631578947368425
522,Noblesville,33.97129186602871
526,Norristown,25.438596491228072
531,Northbrook,21.818181818181817
535,Novi,25.454545454545453
536,Oak Brook,15.204678362573098
537,Oak Creek,36.40350877192983
538,Oak Lawn,17.982456140350877
541,Ocala,28.50877192982456
543,Odessa,30.701754385964914
546,Olathe,15.789473684210526
547,Olive Branch,49.707602339181285
552,Orange Park,20.614035087719298
553,Oregon City,31.57894736842105
555,Orland Park,19.736842105263158
558,Osseo,47.80701754385965
560,Owensboro,32.01754385964912
564,Palm Harbor,18.421052631578945
566,Palmdale,26.75438596491228
567,Palo Alto,16.228070175438596
569,Paramus,52.63157894736842
570,Park City,18.859649122807017
572,Parsippany,63.74269005847953
574,Paterson,27.192982456140353
576,Pearland,31.57894736842105
579,Perrysburg,33.91812865497076
581,Petersburg,32.01754385964912
582,Pflugerville,28.07017543859649
587,Pittsfield,24.561403508771928
590,Plant City,26.36363636363636
591,Pleasanton,16.228070175438596
593,Pocatello,47.66355140186916
596,Pontiac,28.50877192982456
600,Poway,27.192982456140353
607,Queen Creek,28.47682119205298
612,Rancho Cucamonga,17.982456140350877
613,Rapid City,19.53488372093023
623,Rialto,31.140350877192986
624,Richardson,15.789473684210526
628,Riverview,21.49122807017544
631,Rock Hill,21.929824561403507
633,Rocklin,29.82456140350877
635,Rockwall,32.45614035087719
642,Royal Oak,36.84210526315789
651,San Bruno,37.719298245614034
652,San Carlos,25.877192982456144
660,San Rafael,16.228070175438596
663,Sandy Springs,19.298245614035086
666,Santa Barbara,21.49122807017544
671,Santa Fe Springs,41.66666666666667
672,Santa Maria,24.12280701754386
678,Schenectady,27.192982456140353
679,Scottsdale,24.12280701754386
680,Scranton,25.438596491228072
683,Shakopee,17.543859649122805
684,Shawnee,18.859649122807017
685,Shreveport,18.421052631578945
686,Silver Spring,23.24561403508772
687,Simi Valley,21.929824561403507
688,Sioux City,28.504672897196258
692,Solon,34.50292397660819
695,South Jordan,23.684210526315788
696,South San Francisco,23.24561403508772
697,Southaven,53.07017543859649
698,Southfield,32.748538011695906
699,Southlake,43.80952380952381
701,Spartanburg,19.298245614035086
702,Spokane,16.587677725118482
703,Spokane Valley,25.0
704,Spring,32.45614035087719
709,Sterling Heights,32.16374269005848
710,Stockbridge,44.29824561403509
712,Strongsville,34.64912280701755
713,Stuart,17.982456140350877
717,Summit,35.08771929824561
719,Surprise,25.438596491228072
720,Suwanee,37.280701754385966
725,Tarrytown,22.22222222222222
727,Taylor,31.140350877192986
728,Temecula,27.631578947368425
729,Tempe,19.736842105263158
730,Temple,31.57894736842105
731,Terre Haute,18.128654970760234
732,Thornton,21.052631578947366
733,Thousand Oaks,21.49122807017544
734,Tinley Park,19.642857142857142
735,Toledo,24.561403508771928
736,Tolleson,65.49707602339181
737,Toms River,28.947368421052634
738,Topeka,37.280701754385966
740,Towson,23.684210526315788
741,Tracy,34.64912280701755
745,Tualatin,28.07017543859649
746,Tucker,22.36842105263158
748,Tukwila,27.192982456140353
750,Turlock,31.57894736842105
752,Tustin,17.543859649122805
753,Twin Falls,19.736842105263158
754,Twinsburg,46.49122807017544
759,Upper Marlboro,25.877192982456144
761,Urbandale,43.42105263157895
762,Utica,22.36842105263158
763,Vacaville,16.374269005847953
768,Victorville,35.96491228070175
769,Vienna,22.36842105263158
771,Visalia,18.75
774,Waldorf,31.547619047619047
775,Wallingford,67.54385964912281
776,Walnut Creek,15.789473684210526
778,Warner Robins,32.01754385964912
779,Warren,23.24561403508772
780,Warwick,22.807017543859647
782,Waterbury,19.298245614035086
783,Waterloo,17.105263157894736
786,Waukesha,23.24561403508772
787,Wausau,37.42690058479532
789,Wayne,26.75438596491228
791,West Columbia,60.23391812865497
792,West Covina,20.175438596491226
793,West Des Moines,42.10526315789473
794,West Jordan,24.12280701754386
796,West Sacramento,22.36842105263158
797,Westborough,24.12280701754386
798,Westerville,19.298245614035086
799,Westlake,32.45614035087719
803,Wheaton,24.09090909090909
804,White Plains,26.31578947368421
806,Wichita,23.684210526315788
807,Wichita Falls,17.346938775510203
808,Williamsburg,32.01754385964912
810,Wilson,22.727272727272727
811,Wilsonville,25.0
814,Winter Garden,21.49122807017544
816,Winter Park,16.228070175438596
820,Woodland,23.684210526315788
824,Yakima,20.18348623853211
827,Youngstown,30.263157894736842
829,Yuma,23.684210526315788
