,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,period_begin,remote_work_share
0,0,0,0,0,0,0.92870924,39.87272616,10.32129569,974018394.0,5.19905814,0.07756636,6.0,39.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-01-31,5.3
1,1,1,1,1,1,0.925,39.87272616,10.32129569,974018394.0,5.19905814,0.07756636,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-02-28,5.79
2,2,2,2,2,2,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07756636,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-03-31,5.83
3,3,3,3,3,3,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07611387,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-04-30,6.32
4,4,4,4,4,4,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07611387,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-05-31,5.72
5,5,5,5,5,5,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07494761,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-06-30,5.97
6,6,6,6,6,6,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07494761,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-07-31,5.3
7,7,7,7,7,7,0.94708313,39.9212003,10.44892243,1620416722.0,5.38928595,0.08954909,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-08-31,6.19
8,8,8,8,8,8,0.94708313,39.9212003,10.44892243,1620416722.0,5.38928595,0.08954909,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-09-30,6.18
9,9,9,9,9,9,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-10-31,6.18
10,10,10,10,10,10,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-11-30,6.23
11,11,11,11,11,11,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-12-31,5.61
12,12,12,12,12,12,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.09611021,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-01-31,6.0
13,13,13,13,13,13,0.9531846,39.9212003,10.44892243,1620416722.0,5.38928595,0.1020306,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-02-29,6.06
14,14,14,14,14,14,0.9531846,39.9212003,10.44892243,1620416722.0,5.38928595,0.1020306,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-03-31,6.98
15,15,15,15,15,15,0.947809,39.9212003,10.44892243,1620416722.0,5.38928595,0.09264787,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-04-30,10.8
16,16,16,16,16,16,0.947809,39.9212003,10.44892243,1620416722.0,5.38928595,-0.04551883,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-05-31,11.67
17,17,17,17,17,17,0.947809,39.9212003,10.44892243,1620416722.0,5.38928595,-0.04551883,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-06-30,13.19
18,18,18,18,18,18,0.94775365,39.9212003,10.44892243,1620416722.0,5.38928595,-0.02432463,8.0,31.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-07-31,14.43
19,19,19,19,19,19,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.02656551,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-08-31,15.62
20,20,20,20,20,20,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-09-30,17.57
21,21,21,21,21,21,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-10-31,18.02
22,22,22,22,22,22,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-11-30,18.63
23,23,23,23,23,23,0.94775568,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05215114,4.0,36.0,131.92,1.72,2.73,119901.53,11.21,88.65,0.13,62.81,104341.56,266778.86,41.15,4.0,-0.57,-0.64,74.2,-0.46,-1.93,207.4,2020-12-31,18.98
24,24,24,24,24,24,0.948,39.95689516,10.44892243,1620416722.0,5.38928595,-0.08733016,4.0,36.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-01-31,20.59
25,25,25,25,25,25,0.89072371,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12952219,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-02-28,21.7
26,26,26,26,26,26,0.89072371,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12952219,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-03-31,21.75
27,27,27,27,27,27,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12467436,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-04-30,20.29
28,28,28,28,28,28,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12467436,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-05-31,20.45
29,29,29,29,29,29,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.12467436,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-06-30,18.74
30,30,30,30,30,30,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.05194568,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-07-31,20.2
31,31,31,31,31,31,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.06530978,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-08-31,21.57
32,32,32,32,32,32,0.883,39.95689516,10.44892243,1620416722.0,5.38928595,-0.06530978,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-09-30,22.78
33,33,33,33,33,33,0.882,39.95689516,10.44892243,1620416722.0,5.38928595,-0.04878559,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-10-31,23.3
34,34,34,34,34,34,0.882,39.95689516,10.44892243,1620416722.0,5.38928595,-0.04878559,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-11-30,24.74
35,35,35,35,35,35,0.882,39.95689516,10.44892243,1620416722.0,5.38928595,-0.04878559,22.0,38.0,139.22,5.53,2.66,116005.0,11.17,88.69,0.13,63.32,115131.16,284046.76,41.08,4.01,-2.55,-2.61,74.49,-2.45,7.63,-32.53,2021-12-31,23.74
36,36,36,36,36,36,0.882,40.1239797,10.44892243,1620416722.0,5.38928595,-0.01054334,23.0,38.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-01-31,25.52
37,37,37,37,37,37,0.85446992,40.21772837,10.82220146,1673314030.0,5.64619471,-0.01052975,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-02-28,26.65
38,38,38,38,38,38,0.85446992,40.21772837,10.82220146,1673314030.0,5.64619471,-0.01052975,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-03-31,26.54
39,39,39,39,39,39,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.00401256,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-04-30,27.1
40,40,40,40,40,40,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.00401256,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-05-31,25.78
41,41,41,41,41,41,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.00401256,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-06-30,26.22
42,42,42,42,42,42,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.0135783,10.0,34.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-07-31,25.26
43,43,43,43,43,43,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.08602357,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-08-31,23.8
44,44,44,44,44,44,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.10756032,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-09-30,28.52
45,45,45,45,45,45,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.10756032,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-10-31,31.94
46,46,46,46,46,46,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.25506918,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-11-30,29.47
47,47,47,47,47,47,0.849,40.21772837,10.82220146,1673314030.0,5.64619471,-0.25506918,21.0,37.0,151.42,8.76,2.65,119736.24,11.13,88.73,0.12,63.49,119085.37,284809.06,41.03,4.03,0.14,0.09,74.74,0.24,3.68,-50.44,2022-12-31,28.84
48,48,48,48,48,48,0.852,40.34533004,10.82220146,1673314030.0,5.64619471,-0.26276037,21.0,37.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-01-31,29.14
49,49,49,49,49,49,0.84933975,40.34533004,10.73477352,707532773.0,5.60287898,-0.30058417,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-02-28,30.16
50,50,50,50,50,50,0.84933975,40.34533004,10.73477352,707532773.0,5.60287898,-0.30058417,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-03-31,28.58
51,51,51,51,51,51,0.83115,40.34533004,10.73477352,707532773.0,5.60287898,-0.46711463,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-04-30,27.65
52,52,52,52,52,52,0.83115,40.34533004,10.73477352,707532773.0,5.60287898,-0.46711463,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-05-31,26.63
53,53,53,53,53,53,0.83115,40.48249056,10.73477352,707532773.0,5.60287898,-0.45834497,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-06-30,26.37
54,54,54,54,54,54,0.83115,40.48249056,10.73477352,707532773.0,5.60287898,-0.45834497,17.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-07-31,23.79
55,55,55,55,55,55,0.83115,40.48249056,10.73477352,707532773.0,5.60287898,-0.5156717,35.0,38.0,159.01,5.01,2.65,123322.04,11.1,88.77,0.12,63.69,123159.78,295857.06,41.01,4.03,0.13,0.08,74.96,0.21,3.64,22.17,2023-08-31,24.76
56,56,56,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-30,
57,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-31,
58,58,58,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-30,
59,59,59,59,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-31,
60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31,
61,61,61,61,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-29,
62,62,62,62,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-31,
63,63,63,63,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-30,
64,64,64,64,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-31,
65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,
66,66,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-31,
67,67,67,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-31,
68,68,68,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,
69,69,69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-31,
70,70,70,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30,
71,71,71,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-31,
72,72,72,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,
73,73,73,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-28,
74,74,74,74,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-31,
75,75,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30,
76,76,76,76,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31,
77,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-30,
78,78,78,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-31,
79,79,79,79,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-31,
80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30,
81,81,81,81,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,
82,82,82,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-30,
83,83,83,83,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,
